source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,pmra,pmdec
6503911346187618432,343.3258628876144,-57.85432230024483,7.611853122711182,8.204672813415527,6.880581378936768,4.133865780669013,27.008035747266344,-13.05239656060628
438011420662964096,40.631643841739994,47.029797336476484,7.611871242523193,7.8092169761657715,7.257787227630615,5.238159887573115,25.81373218866268,-7.632481708143833
6140328861203611008,194.17924745526324,-40.2587617088152,7.611972808837891,8.331523895263672,6.788156032562256,2.4648080808089663,-13.891690089341033,-22.62723534576402
5640537978121608064,128.812254216132,-31.28560207772695,7.611973285675049,8.09878921508789,6.959770679473877,3.218503919906699,-18.947305333136452,4.4940019042276305
3568282915693405824,177.716530734474,-17.211464092305658,7.611983776092529,9.502705574035645,6.2963480949401855,1.3486782378375355,-16.610904370103018,3.5909095559382544
4766627483323700480,84.22831589600449,-56.18767235831278,7.6119890213012695,8.536674499511719,6.664870738983154,1.3930282914405427,-2.1312773890896066,22.31174481172392
866471276437499776,112.03362820048447,22.65167402779723,7.611989498138428,8.161678314208984,6.911435127258301,4.795127159596954,-24.82215221231331,-52.650070544354676
4549498469692688512,264.92524992793574,16.56011690472037,7.6120147705078125,9.477331161499023,6.307509422302246,1.1342757193049684,-5.159901652966235,7.709786904239427
942828819933824000,96.99802728859193,36.20237906503395,7.61203145980835,7.908050537109375,7.125194072723389,2.5566291224248854,-6.924478346676845,-5.49551753880527
5246927594365883008,141.2383621687229,-67.92099980851738,7.612035751342773,7.839567184448242,7.218472957611084,10.638033447103783,-51.42826400724458,115.0757074065108
284797361549266944,79.25545452587414,61.24313928666557,7.612041473388672,8.545044898986816,6.663241386413574,1.288800251922077,3.6945461571990057,-0.5892293776111137
4871100157616823168,67.49028318619378,-33.54543833463813,7.612104415893555,8.877124786376953,6.4857401847839355,1.4658719800327384,25.333421812690013,-3.127411527851856
3449440934393863808,85.05754158302263,34.260071007814226,7.612109184265137,8.297099113464355,6.812445640563965,2.1503577671627383,5.081877541345228,-33.21055911231943
3430452265503177728,91.00430541450952,27.5702590059414,7.612168788909912,7.656976222991943,7.501111030578613,6.860541904811353,13.711821882949293,-34.39269021012175
5844006697968942208,200.52640511112162,-70.54708750060274,7.6122002601623535,7.611473083496094,7.563089370727539,3.5259121336543484,-13.7887925664519,-5.986094700324074
2099408640248007680,288.95346824846894,38.38135936178065,7.612209796905518,7.894420146942139,7.154301643371582,15.706021971659684,35.60514318413843,237.86008902960748
4989720935219495296,16.285537025137334,-37.56352586356015,7.612229824066162,8.086848258972168,6.964371204376221,3.0584064961763766,-12.681876315481798,13.243128542906993
3512153298068184448,195.9120393294492,-16.336705368931554,7.612246036529541,7.877953052520752,7.1802215576171875,18.489330749510682,-108.36723739604017,-29.29915326085898
3246898797927984640,58.03279668364779,-3.5971000271735836,7.6122636795043945,7.8649678230285645,7.188872814178467,12.900321779811247,-24.75703870341881,-37.30915500251145
3425264666562831488,93.41656227665003,23.745093086276686,7.61229133605957,8.366140365600586,6.764620780944824,1.0849819792445514,2.3520481776166453,-3.0955289543524556
